household_id,household_weight,household_size,number_of_vehicles,number_of_bikes,departement_id,income_class,consumption_units,commune_id,zone_fine_id
246,110.3007,2,1,0,59,0,1.5,59350,00103007
247,161.6591,1,0,0,59,0,1.0,59350,00103007
248,161.6591,1,0,1,59,0,1.0,59350,00103007
249,161.6591,1,0,0,59,0,1.0,59350,00103007
250,161.6591,1,1,0,59,0,1.0,59350,00103007
251,161.6591,1,0,0,59,0,1.0,59350,00103007
252,161.6591,1,1,0,59,0,1.0,59350,00103007
253,110.3007,2,1,0,59,0,1.5,59350,00103008
254,161.6591,1,1,0,59,0,1.0,59350,00103008
256,161.6591,1,1,0,59,0,1.0,59350,00103008
257,161.6591,1,0,0,59,0,1.0,59350,00103008
258,110.3007,2,1,0,59,0,1.5,59350,00103008
259,161.6591,1,0,0,59,0,1.0,59350,00103008
261,110.3007,2,0,0,59,0,1.5,59350,00103009
262,82.15898,3,0,2,59,0,2.0,59350,00103010
264,161.6591,1,0,0,59,0,1.0,59350,00103010
265,110.3007,2,0,1,59,0,1.5,59350,00103010
266,70.78718,5,1,0,59,0,2.6,59350,00103010
267,161.6591,1,0,0,59,0,1.0,59350,00103010
268,110.3007,2,1,0,59,0,1.5,59350,00103011
269,161.6591,1,0,0,59,0,1.0,59350,00103011
270,161.6591,1,1,1,59,0,1.0,59350,00103011
271,161.6591,1,1,0,59,0,1.0,59350,00103011
272,161.6591,1,0,0,59,0,1.0,59350,00103011
273,161.6591,1,1,0,59,0,1.0,59350,00103011
274,82.15898,3,1,0,59,0,2.0,59350,00103011
275,110.3007,2,2,0,59,0,1.5,59350,00103011
276,70.78718,5,2,5,59,0,2.4,59350,00103013
277,166.4,1,0,0,59,0,1.0,59350,00103013
278,166.4,1,0,0,59,0,1.0,59350,00103013
279,161.6591,1,0,0,59,0,1.0,59350,00103013
280,161.6591,1,0,0,59,0,1.0,59350,00103013
281,110.3007,2,1,1,59,0,1.5,59350,00103013
282,166.4,1,0,0,59,0,1.0,59350,00103013
283,70.78718,8,1,0,59,0,3.9,59350,00103013
284,110.3007,2,1,0,59,0,1.5,59350,00103013
285,163.92,4,3,4,59,0,2.1,59350,00103013
286,110.3007,2,1,1,59,0,1.5,59350,00103013
287,110.3007,2,2,1,59,0,1.5,59350,00103013
288,82.15898,3,0,2,59,0,1.6,59350,00103013
289,161.6591,1,0,0,59,0,1.0,59350,00103014
290,161.6591,1,1,0,59,0,1.0,59350,00103014
291,70.78718,5,1,2,59,0,2.4,59350,00103015
292,161.6591,1,0,0,59,0,1.0,59350,00103015
293,110.3007,2,1,0,59,0,1.5,59350,00103015
294,163.92,4,0,0,59,0,2.1,59350,00103015
295,161.6591,1,1,0,59,0,1.0,59350,00103015
296,161.6591,1,0,1,59,0,1.0,59350,00103015
297,161.6591,1,1,0,59,0,1.0,59350,00103015
298,110.3007,2,0,0,59,0,1.5,59350,00103015
299,110.3007,2,1,0,59,0,1.5,59350,00103015
300,161.6591,1,0,0,59,0,1.0,59350,00103015
301,161.6591,1,1,1,59,0,1.0,59350,00103016
302,166.4,1,0,0,59,0,1.0,59350,00103017
303,166.4,1,0,0,59,0,1.0,59350,00103017
304,70.78718,5,0,0,59,0,3.0,59350,00103018
305,163.92,4,1,3,59,0,2.1,59350,00103019
306,161.6591,1,0,0,59,0,1.0,59350,00103019
307,110.3007,2,0,1,59,0,1.5,59350,00103019
308,110.3007,2,1,1,59,0,1.5,59350,00103019
309,110.3007,2,0,0,59,0,1.5,59350,00103019
310,110.3007,2,0,0,59,0,1.3,59350,00103021
311,110.3007,2,0,1,59,0,1.5,59350,00103021
312,161.6591,1,0,0,59,0,1.0,59350,00103021
313,161.6591,1,0,0,59,0,1.0,59350,00103022
314,161.6591,1,0,0,59,0,1.0,59350,00103022
315,161.6591,1,0,0,59,0,1.0,59350,00103022
316,161.6591,1,0,1,59,0,1.0,59350,00103022
317,161.6591,1,0,0,59,0,1.0,59350,00103022
318,161.6591,1,0,1,59,0,1.0,59350,00103022
319,161.6591,1,0,0,59,0,1.0,59350,00103023
320,82.15898,3,0,1,59,0,1.8,59350,00103023
321,161.6591,1,1,0,59,0,1.0,59350,00103023
322,82.15898,3,0,0,59,0,2.0,59350,00103023
323,161.6591,1,0,1,59,0,1.0,59350,00103023
324,110.3007,2,1,0,59,0,1.5,59350,00103023
325,161.6591,1,1,0,59,0,1.0,59350,00103023
326,161.6591,1,0,0,59,0,1.0,59350,00103024
327,110.3007,2,1,2,59,0,1.5,59350,00103024
328,102.9592,2,1,0,59,0,1.5,59350,00104002
329,105.3023,1,0,0,59,0,1.0,59350,00104002
330,105.3023,1,0,1,59,0,1.0,59350,00104002
331,156.36700000000002,3,2,4,59,0,1.8,59350,00104002
332,161.5334,4,2,1,59,0,2.1,59350,00104002
333,105.3023,1,1,0,59,0,1.0,59350,00104003
334,102.9592,2,0,2,59,0,1.5,59350,00104003
335,105.3023,1,0,0,59,0,1.0,59350,00104003
336,102.9592,2,2,1,59,0,1.5,59350,00104003
337,102.9592,2,1,0,59,0,1.5,59350,00104003
338,105.3023,1,1,0,59,0,1.0,59350,00104003
339,105.3023,1,1,1,59,0,1.0,59350,00104003
341,102.9592,2,2,1,59,0,1.5,59350,00104003
342,156.36700000000002,3,1,3,59,0,1.8,59350,00104003
343,105.3023,1,2,0,59,0,1.0,59350,00104003
344,105.3023,1,1,0,59,0,1.0,59350,00104003
345,105.3023,1,0,0,59,0,1.0,59350,00104003
346,105.3023,1,0,0,59,0,1.0,59350,00104003
347,105.3023,1,1,0,59,0,1.0,59350,00104003
348,105.3023,1,1,0,59,0,1.0,59350,00104003
350,105.3023,1,0,1,59,0,1.0,59350,00104004
351,105.3023,1,0,1,59,0,1.0,59350,00104004
352,105.3023,1,1,0,59,0,1.0,59350,00104004
354,105.3023,1,1,0,59,0,1.0,59350,00104004
356,105.3023,1,0,0,59,0,1.0,59350,00104004
357,105.3023,1,0,0,59,0,1.0,59350,00104004
358,105.3023,1,0,0,59,0,1.0,59350,00104004
359,93.68413000000001,5,1,2,59,0,2.4,59350,00104004
360,93.68413000000001,5,2,5,59,0,3.0,59350,00104004
361,102.9592,2,1,1,59,0,1.5,59350,00104004
362,105.3023,1,1,1,59,0,1.0,59350,00104004
363,102.9592,2,2,1,59,0,1.5,59350,00104004
366,105.3023,1,0,2,59,0,1.0,59350,00104005
367,161.5334,4,0,0,59,0,1.9,59350,00104005
368,105.3023,1,0,0,59,0,1.0,59350,00104005
369,102.9592,2,1,0,59,0,1.3,59350,00104005
370,105.3023,1,1,1,59,0,1.0,59350,00104005
371,156.36700000000002,3,0,2,59,0,1.6,59350,00104006
373,156.36700000000002,3,0,1,59,0,1.8,59350,00104006
374,102.9592,2,0,0,59,0,1.5,59350,00104007
375,93.68413000000001,7,2,5,59,0,3.0,59350,00104007
376,105.3023,1,0,0,59,0,1.0,59350,00104007
377,105.3023,1,1,1,59,0,1.0,59350,00104008
378,105.3023,1,0,0,59,0,1.0,59350,00104008
379,102.9592,2,2,1,59,0,1.5,59350,00104008
380,105.3023,1,0,0,59,0,1.0,59350,00104008
381,102.9592,2,0,0,59,0,1.5,59350,00104008
382,105.3023,1,0,0,59,0,1.0,59350,00104008
383,93.68413000000001,5,2,3,59,0,2.4,59350,00104008
384,102.9592,2,1,3,59,0,1.5,59350,00104008
385,102.9592,2,1,0,59,0,1.5,59350,00104008
386,105.3023,1,0,0,59,0,1.0,59350,00104008
387,105.3023,1,1,0,59,0,1.0,59350,00104008
388,102.9592,2,0,0,59,0,1.5,59350,00104008
389,105.3023,1,2,0,59,0,1.0,59350,00104008
390,161.5334,4,2,2,59,0,2.1,59350,00104008
391,102.9592,2,1,0,59,0,1.5,59350,00104009
392,105.3023,1,0,0,59,0,1.0,59350,00104009
393,105.3023,1,0,0,59,0,1.0,59350,00104009
