TP1;TP2;ECH;PER;NDEP;T1;T2;T3;T4;T5;T6;T7;T8;T8B;T8C;T9;T10;T11;TOIS;TDIS;TDIP;TDMO;TDMD;TFIN
4;1010;0045;01;01;1;01;10;1010;1050;02;0;1;0;0;2;2;00;1622;2162;2162;67;133;0
4;1010;0045;01;02;1;02;10;1050;1010;01;0;1;0;0;1;2;00;1622;2162;2162;133;67;0
4;1010;0045;01;03;1;01;10;1010;1050;02;0;1;0;0;2;2;00;1622;2162;2162;67;133;0
4;1010;0045;01;04;1;02;10;1050;1010;01;0;1;0;0;2;2;00;1949;2646;2646;133;67;0
4;1010;0054;01;01;1;01;21;1010;1318;00;1;1;0;0;3;2;00;7884;12372;12372;67;0;0
4;1010;0054;01;02;1;00;22;1318;1281;00;;;;;;;;2115;4045;4045;0;0;0
4;1010;0054;01;03;1;00;22;1281;1318;00;;;;;;;;2115;4123;4123;0;0;0
4;1010;0054;01;04;1;00;21;1318;1010;02;1;1;0;0;2;2;05;7884;12828;12828;0;133;0
4;1010;0054;02;01;1;02;33;1015;1105;05;;;;;;;;3913;5869;5869;133;333;0
4;1010;0054;02;03;1;01;33;1105;1015;05;;;;;;;;3913;5869;5869;67;333;0
4;1010;0060;01;01;1;02;51;1015;9591;20;;;;;;;;29725;44588;16488;133;1333;0
4;1010;0060;01;04;1;20;51;9591;1015;02;;;;;;;;29725;44588;15352;1333;133;0
4;1010;0076;01;01;1;05;33;1015;1255;05;;;;;;;;4655;6982;6982;333;333;0
4;1010;0076;01;04;1;05;33;1255;1015;05;;;;;;;;4655;6982;6982;333;333;0
4;1010;0076;02;01;1;05;33;1015;1435;15;;;;;;;;12274;18411;18411;333;1000;0
4;1010;0076;02;02;1;00;22;1420;1010;00;;;;;;;;12642;16314;16314;0;0;0
4;1010;0081;01;01;1;06;33;1015;1255;05;;;;;;;;4655;6982;6982;400;333;0
4;1010;0081;01;02;1;05;33;1255;1015;06;;;;;;;;4655;6982;6982;333;400;0
4;1010;0084;01;05;1;05;33;1015;1045;03;;;;;;;;2431;3646;3646;333;200;0
4;1010;0084;01;06;1;03;33;1045;1015;05;;;;;;;;2431;3646;3646;200;333;0
4;1010;0086;01;01;1;05;21;1010;9625;02;1;1;0;0;3;2;00;27173;37808;24135;333;133;0
4;1010;0086;01;02;1;02;21;9625;9625;01;1;1;0;0;3;2;02;1288;2319;0;133;67;0
4;1010;0086;01;03;1;01;21;9625;9625;02;1;1;0;0;3;2;02;1288;2319;0;67;133;0
4;1010;0086;01;04;1;02;21;9625;1010;05;1;1;0;0;1;3;00;27173;38033;24602;133;333;0
4;1010;0107;01;02;1;00;51;1015;1126;00;;;;;;;;3499;5249;5249;0;0;0
4;1010;0107;01;03;1;00;51;1126;1015;03;;;;;;;;3499;5249;5249;0;200;0
