OP1;OP2;ECH;PER;O1;O2;O3;O4;O5;O6;O7;O8;O9;O10;O11;O12;O13;O14;O15;O16;O17;O18;O50;O51;O52;O53;O34;O35;O36;O40A;O40B;O40C;O41A;O41B;O41C;O42A;O42B;O42C;COEO;OR1;OR2A;OR2B;OR3;OR4;OR5A;OR5B;OR5C;OR5D;O43A;O43B;O43C;OFIN
5;1010;0153;01;1;1;1;1;1;1;1;4;1;2;2;2;2;1;1;1;2;7;1;1;2;2;1;1;2;36;24;18;03;04;22;25;03;04;62.43746;1;1;2;4;;0;0;0;0;04;03;21;0
5;1010;0014;01;1;1;1;1;1;1;1;6;1;2;1;1;3;1;1;1;1;8;2;1;2;2;3;1;2;22;06;24;01;22;13;01;04;03;31.66463;2;1;0;2;2;2;1;2;2;17;12;;0
5;1010;0067;01;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;2;1;2;2;1;1;1;21;;;03;;;25;;;48.77913;3;1;2;4;;3;1;2;1;03;;;0
5;1010;0082;01;1;1;1;1;1;1;1;1;1;2;1;1;2;1;1;1;1;8;2;1;2;2;1;1;2;24;25;03;03;04;34;04;29;03;97.07227;1;1;0;4;;0;0;0;0;21;17;07;0
5;1010;0149;02;1;1;1;1;1;1;1;4;1;1;1;1;2;1;1;1;1;7;2;1;2;2;1;1;1;18;24;;34;32;;09;01;29;42.55142;2;1;0;4;;2;2;2;2;09;11;17;0
5;1010;0156;01;1;1;1;1;1;1;1;6;1;1;1;1;1;1;1;1;1;6;1;3;2;1;1;1;1;29;13;24;13;03;33;03;33;29;46.63153;3;3;;2;2;2;1;1;1;17;11;12;0
5;1010;0003;01;1;1;1;1;1;1;1;1;1;2;2;2;2;2;1;1;1;8;1;1;2;2;1;1;2;34;24;25;25;01;03;03;01;25;62.43746;3;1;0;4;;2;1;2;2;29;17;26;0
5;1010;0008;01;1;1;1;1;1;1;1;1;1;2;2;2;2;1;1;2;2;1;1;1;2;2;2;1;1;01;22;27;03;04;10;04;03;01;62.43746;2;1;2;3;2;0;0;0;0;13;16;11;0
5;1010;0021;01;1;1;1;1;1;1;1;4;1;2;1;1;2;1;1;1;2;8;1;1;2;2;1;1;1;23;22;21;02;03;01;01;16;02;46.63153;2;1;0;2;2;3;1;1;1;16;21;11;0
5;1010;0023;01;1;1;1;1;1;1;1;4;1;2;1;1;2;1;1;1;1;6;1;1;2;2;1;2;1;07;;;03;;;17;;;46.63153;2;2;0;4;;0;0;0;0;17;;;0
5;1010;0032;01;1;1;1;1;1;1;1;1;1;2;1;2;2;1;2;1;2;1;1;2;1;3;2;2;2;02;06;31;35;25;;21;23;31;37.91875;;2;0;4;;1;2;2;2;09;11;17;0
5;1010;0039;01;1;1;1;2;1;1;1;1;1;1;1;1;2;1;1;1;2;6;1;1;2;1;1;1;2;01;24;33;03;01;16;15;04;17;46.63153;1;1;0;4;;0;0;0;0;08;17;09;0
5;1010;0045;01;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;6;2;1;2;2;1;1;1;36;21;23;03;01;04;01;02;27;62.43746;1;1;0;4;;0;0;0;0;03;02;17;0
5;1010;0054;01;1;1;1;1;1;1;1;6;1;3;1;3;3;3;3;1;1;8;3;3;2;1;3;1;2;03;25;13;03;01;26;25;08;04;97.07227;3;1;2;3;3;3;2;2;2;02;13;18;0
5;1010;0060;01;1;1;1;1;1;1;1;2;3;1;1;1;2;1;1;1;1;7;2;1;2;1;1;3;2;22;24;;02;04;;25;;;62.43746;1;1;2;2;3;3;1;3;1;17;21;;0
5;1010;0076;01;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;8;1;1;2;2;1;1;2;21;22;25;03;01;02;03;02;17;97.07227;1;1;0;4;;0;0;0;0;17;11;04;0
5;1010;0081;02;1;1;1;1;1;1;1;4;1;2;1;1;2;1;1;1;1;7;2;1;2;2;1;1;1;34;23;36;03;38;;03;32;25;97.07227;1;1;2;2;2;2;2;2;2;03;01;17;0
5;1010;0084;01;1;1;1;1;1;1;1;2;1;2;1;1;2;1;1;1;1;3;2;1;2;2;1;1;2;24;34;03;02;03;;04;17;;46.63153;2;1;0;2;2;0;0;0;0;04;17;;0
5;1010;0086;01;1;1;1;2;1;1;1;1;2;1;1;2;2;1;1;1;1;9;1;1;1;2;1;1;2;03;24;28;13;03;01;08;04;17;72.49861;1;1;2;3;3;2;2;2;2;17;03;14;0
5;1010;0106;01;1;1;1;1;1;1;1;4;1;2;1;1;1;1;1;1;1;6;1;1;1;2;1;2;2;01;05;22;03;10;13;21;15;08;46.63153;;1;2;4;;1;1;1;1;29;;;0
5;1010;0107;01;1;1;2;1;1;1;1;6;1;1;1;1;2;1;1;1;1;6;1;1;2;1;1;1;1;13;10;09;03;34;29;25;29;21;48.77913;3;3;;4;;1;2;1;1;21;12;15;0
5;1010;0133;01;1;1;1;1;1;1;1;1;1;2;1;2;2;1;1;1;1;6;1;1;2;2;2;1;1;03;36;24;03;04;16;04;02;17;62.43746;3;1;0;4;;0;0;0;0;17;07;03;0
5;1010;0137;01;1;1;1;1;1;1;1;2;1;1;1;2;2;1;1;1;1;1;2;2;2;2;1;1;1;36;03;34;03;31;01;03;04;11;62.43746;1;3;;4;;0;0;0;0;11;21;17;0
5;1010;0142;01;1;1;1;1;1;1;1;1;1;2;2;2;1;1;1;1;1;7;1;1;2;2;1;1;2;11;06;22;26;03;01;26;01;29;62.43746;1;3;;2;1;0;0;0;0;04;06;10;0
5;1010;0146;01;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;8;1;1;2;2;1;1;2;36;28;;03;01;34;25;21;32;46.63153;1;1;2;4;;2;1;2;1;17;03;29;0
5;1010;0155;01;1;1;1;1;1;1;1;2;1;1;1;1;3;1;1;1;1;6;1;1;2;2;1;2;2;23;22;;22;03;37;02;03;25;72.49861;1;1;2;4;;3;1;1;1;02;13;25;0
5;1010;0158;01;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;7;1;1;2;2;1;1;2;01;06;24;26;02;04;04;26;17;62.43746;1;1;0;4;;0;0;0;0;21;17;04;0
5;1010;0164;01;1;1;1;1;1;1;1;6;1;2;1;2;2;1;1;2;1;9;2;1;2;1;1;2;1;03;13;22;03;18;;18;25;04;72.49861;1;1;2;2;1;2;1;1;0;13;17;;0
5;1010;0028;01;1;1;1;1;1;1;1;1;2;1;1;2;3;1;1;2;1;6;1;1;2;1;1;1;2;06;10;07;18;35;10;01;07;04;97.07227;2;1;2;4;;2;0;0;0;21;27;17;0
5;1010;0123;01;1;1;1;1;1;2;1;3;1;1;1;2;2;1;1;1;1;6;1;1;2;2;1;1;1;18;28;24;01;05;18;33;01;03;46.63153;1;3;;2;2;0;0;0;0;17;04;03;0
5;1010;0569;01;1;1;1;1;1;1;1;7;1;1;1;2;2;1;1;1;1;6;1;1;2;2;1;1;1;28;24;25;08;10;11;10;11;04;56.00916;;2;0;1;2;2;1;2;1;10;11;23;0
5;1010;0592;01;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1;1;1;4;2;1;2;2;1;1;1;24;18;22;03;27;01;03;02;33;87.07813;;1;2;4;;2;3;3;2;11;03;17;0
5;1010;0595;03;1;1;1;1;1;1;1;4;1;2;1;1;2;1;1;1;1;7;2;1;2;2;1;1;3;22;07;;03;22;;16;04;;94.99391;3;2;0;3;2;3;1;2;3;16;04;13;0
5;1010;0011;02;1;1;2;1;1;1;1;1;2;2;3;3;3;1;1;3;1;6;2;1;1;2;1;2;1;03;06;07;03;02;;23;04;;63.32927;3;1;0;4;;3;2;1;1;02;13;;0
5;1010;0087;02;1;1;1;1;1;1;1;1;1;2;1;1;2;1;1;1;1;7;2;1;2;2;1;1;1;03;22;24;37;02;38;17;25;03;97.07227;2;3;;4;;0;0;0;0;17;21;25;0
5;1010;0114;01;1;1;1;2;1;2;1;1;2;1;1;1;2;1;1;1;1;9;1;1;2;1;1;1;1;10;24;27;10;01;38;10;11;04;48.77913;1;1;2;4;;0;0;0;0;11;17;21;0
5;1010;0005;02;1;1;1;1;2;2;2;1;2;3;1;1;1;3;1;1;2;7;2;1;2;1;1;1;2;01;25;24;31;04;02;03;25;17;97.07227;3;2;0;4;;2;1;2;1;17;02;05;0
5;1010;0070;01;1;1;1;1;1;1;1;6;1;1;1;3;3;1;1;1;1;1;1;3;2;3;3;3;2;07;03;24;03;02;10;;;;84.97316;;3;;4;;3;2;2;1;02;17;04;0
