MP2,ECH,ANNE,M5,M14,M20,M21,COEM,ML2B,ML24,menage_id_constr,household_id
1020,0029,20160106,0,0,0,,82.07269000000001,1.0,4,10200029,123
1020,0031,20160205,1,0,1,0.0,82.07269000000001,2.0,3,10200031,124
1020,0054,20151215,1,0,0,,82.07269000000001,,4,10200054,125
1020,0060,20160114,2,0,4,0.0,80.12179,1.0,2,10200060,126
1020,0062,20160129,1,0,0,,102.896,,3,10200062,127
1020,0067,20160206,0,0,0,,102.896,2.0,3,10200067,128
1020,0069,20160109,1,0,6,2.0,112.8955,1.0,3,10200069,129
1020,0070,20160112,0,0,1,0.0,82.07269000000001,1.0,2,10200070,130
1020,0074,20160113,1,0,0,,82.07269000000001,1.0,4,10200074,131
1020,0083,20160128,1,0,0,,82.07269000000001,1.0,4,10200083,132
1020,0102,20160127,1,0,0,,82.07269000000001,1.0,3,10200102,133
1020,0107,20160309,0,0,0,,82.07269000000001,2.0,3,10200107,134
1020,0125,20160225,0,0,0,,82.07269000000001,1.0,3,10200125,135
1020,0139,20160301,0,0,0,,82.07269000000001,1.0,3,10200139,136
1020,0003,20160129,0,0,0,,102.896,2.0,4,10200003,137
1020,0009,20151212,1,0,2,0.0,112.8955,1.0,3,10200009,138
1020,0016,20151212,2,0,4,1.0,112.8955,3.0,3,10200016,139
1020,0042,20160128,1,0,0,,82.07269000000001,2.0,4,10200042,140
1020,0046,20151217,0,0,0,,82.07269000000001,1.0,3,10200046,141
1020,0117,20160127,2,1,0,,102.896,1.0,3,10200117,142
1020,0134,20160305,0,0,0,,82.07269000000001,1.0,3,10200134,143
1020,0148,20160315,0,0,0,,82.07269000000001,1.0,3,10200148,144
1020,0155,20160319,0,0,0,,82.07269000000001,1.0,3,10200155,145
1020,0521,20160308,0,0,0,,82.07269000000001,1.0,3,10200521,146
1020,0650,20160308,0,0,0,,82.07269000000001,1.0,3,10200650,147
1020,0007,20160204,0,0,0,,82.07269000000001,2.0,3,10200007,148
1020,0025,20151212,0,0,0,,82.07269000000001,1.0,3,10200025,149
1020,0043,20160204,1,0,0,,82.07269000000001,2.0,3,10200043,150
1020,0053,20160127,0,0,0,,82.07269000000001,1.0,4,10200053,151
1020,0065,20160226,1,0,0,,82.07269000000001,2.0,3,10200065,152
1020,0078,20160206,0,0,0,,82.07269000000001,2.0,3,10200078,153
1020,0100,20160312,1,0,1,0.0,82.07269000000001,2.0,3,10200100,154
1020,0112,20160121,1,0,0,,82.07269000000001,2.0,4,10200112,155
1020,0114,20160322,1,0,1,0.0,102.896,1.0,3,10200114,156
1020,0140,20160301,0,0,0,,82.07269000000001,1.0,4,10200140,157
1020,0144,20160318,0,0,0,,82.07269000000001,1.0,3,10200144,158
1020,0161,20160331,0,0,0,,82.07269000000001,1.0,3,10200161,159
1020,0006,20151210,1,0,0,,82.07269000000001,1.0,3,10200006,160
1020,0010,20151204,0,0,0,,82.07269000000001,2.0,3,10200010,161
1020,0012,20151204,0,0,0,,82.07269000000001,2.0,3,10200012,162
1020,0017,20151203,1,1,2,0.0,102.896,,3,10200017,163
1020,0022,20151202,0,0,0,,82.07269000000001,,3,10200022,164
1020,0023,20151216,0,0,0,,82.07269000000001,2.0,3,10200023,165
1020,0030,20151209,0,0,0,,82.07269000000001,1.0,3,10200030,166
1020,0032,20160204,0,0,0,,82.07269000000001,2.0,3,10200032,167
1020,0045,20160324,1,0,2,0.0,80.12179,2.0,3,10200045,168
1020,0056,20151215,1,0,0,,82.07269000000001,2.0,3,10200056,169
1020,0064,20160112,1,0,1,0.0,82.07269000000001,2.0,2,10200064,170
1020,0090,20160123,2,0,0,,102.896,1.0,3,10200090,171
1020,0133,20160316,1,0,0,,102.896,1.0,3,10200133,172
1020,0136,20160312,1,0,0,,82.07269000000001,1.0,3,10200136,173
1020,0047,20151205,0,0,1,0.0,82.07269000000001,,3,10200047,174
1020,0061,20160130,2,1,2,0.0,102.896,1.0,3,10200061,175
1020,0077,20160120,1,0,0,,102.896,,3,10200077,176
1020,0087,20160202,0,0,0,,82.07269000000001,1.0,3,10200087,177
1020,0089,20160227,1,0,1,0.0,82.07269000000001,1.0,2,10200089,178
1020,0091,20160113,1,0,1,0.0,102.896,1.0,4,10200091,179
1020,0113,20160129,0,0,0,,82.07269000000001,,3,10200113,180
1020,0128,20160226,0,0,0,,66.79166,2.0,3,10200128,181
1020,0005,20151210,1,0,0,,102.896,1.0,3,10200005,182
1020,0038,20151215,0,0,0,,82.07269000000001,2.0,4,10200038,183
1020,0057,20160311,2,0,2,0.0,112.8955,,3,10200057,184
1020,0072,20160121,1,0,0,,82.07269000000001,1.0,3,10200072,185
1020,0088,20160120,0,0,0,,82.07269000000001,,4,10200088,186
1020,0093,20160206,1,0,0,,82.07269000000001,1.0,3,10200093,187
1020,0121,20160309,1,0,0,,82.07269000000001,2.0,3,10200121,188
1020,0126,20160311,0,0,0,,102.896,3.0,3,10200126,189
1020,0154,20160324,1,0,0,,82.07269000000001,1.0,3,10200154,190
1020,0001,20151204,1,0,0,,82.07269000000001,,3,10200001,191
1020,0040,20160204,1,0,0,,102.896,2.0,3,10200040,192
1020,0115,20160330,0,0,1,0.0,82.07269000000001,1.0,3,10200115,193
1020,0132,20160304,0,0,0,,80.12179,2.0,3,10200132,194
