MP1;MP2;ECH;ANNE;M1;M2;M3;M3A;M3D;M5;M6A;M7A1;M13A;M14A;M7A;M8A;M9A;M6B;M7B1;M13B;M14B;M7B;M8B;M9B;M6C;M7C1;M13C;M14C;M7C;M8C;M9C;M6D;M7D1;M13D;M14D;M7D;M8D;M9D;M14;M15A;M16A;M20A;M17A;M18A;M19A;M15B;M16B;M20B;M17B;M18B;M19B;M15C;M16C;M20C;M17C;M18C;M19C;M15D;M16D;M20D;M17D;M18D;M19D;M20;M21;M22;COEM;ML2A;ML2B;ML2C;M22B;M22C;ML24;MP3;MFIN
1;1010;0013;20160109;4;3;1;4;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;3;53.82657;2015;1;59350;;;3;5;0
1;1010;0015;20151205;4;3;2;;1;1;1;1;2006;04;4;2;2;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;1;53.82657;2015;1;59350;;;4;5;0
1;1010;0075;20160122;4;3;2;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;1;53.82657;2015;1;59350;;;3;4;0
1;1010;0078;20160107;4;1;2;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;1;53.82657;2015;1;80021;;;4;3;0
1;1010;0085;20160114;4;1;2;;1;1;1;1;2007;04;1;1;2;;;;;;;;;;;;;;;;;;;;;;1;3;4;2;2004;1;2;;;;;;;;;;;;;;;;;;;01;00;1;36.55035;2014;1;59350;00;00;3;3;0
1;1010;0127;20160224;4;1;1;4;1;1;1;3;2009;07;1;1;2;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;2;41.84241;1985;;;;;3;2;0
1;1010;0130;20160226;4;2;1;3;1;1;1;3;2008;05;1;1;2;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;01;01;2;41.84241;2001;;;00;00;3;4;0
1;1010;0132;20160301;4;3;1;4;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;01;00;1;41.84241;2014;1;59350;00;00;3;1;0
1;1010;0145;20160331;4;2;1;4;1;2;1;3;2011;07;1;1;2;1;3;1987;05;1;1;2;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;3;53.82657;2008;2;99131;;;3;3;0
1;1010;0153;20160317;4;3;2;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;3;53.82657;2014;1;62252;;;3;3;0
1;1010;0014;20151211;4;2;2;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;02;00;3;36.55035;2014;1;59009;00;02;3;4;0
1;1010;0067;20160123;4;2;1;4;1;1;1;4;2011;05;1;1;2;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;01;00;3;53.82657;1990;;;00;00;3;5;0
1;1010;0082;20160112;3;3;2;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;1;41.84241;2015;1;59350;;;3;1;0
1;1010;0149;20160304;4;2;1;4;1;1;1;1;1998;04;1;2;2;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;02;00;1;41.84241;2009;1;59009;00;00;3;4;0
1;1010;0156;20160315;4;2;1;4;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;1;53.82657;2011;1;88888;;;3;1;0
1;1010;0003;20151218;4;2;1;4;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;3;53.82657;2014;2;59033;;;3;4;0
1;1010;0008;20160225;3;3;2;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;1;53.82657;2015;1;51454;;;3;3;0
1;1010;0021;20151205;3;4;1;4;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;3;53.82657;2011;1;59328;;;3;5;0
1;1010;0023;20160121;4;1;2;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;1;53.82657;2014;1;62164;;;4;3;0
1;1010;0032;20160126;4;3;1;4;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;00;;3;41.84241;2009;2;69123;;;3;1;0
